cod_item;saldo_atual;valor_total
20831;0;0
20899;0;0
22777;0;0
22781;0;0
22789;0;0
22793;0;0
22800;0;0
22818;0;0
22823;252;673,2820059
22827;0;0
22828;0;0
22832;0;0
22833;0;0
22842;0;0
22843;0;0
22851;0;0
22852;0;0
22854;0;0
22857;0;0
22859;0;0
22863;0;0
22871;0;0
22873;0;0
22874;0;0
22877;0;0
22889;0;0
22904;0;0
22929;0;0
22944;0;0
22945;0;0
22947;0;0
22948;0;0
22949;0;0
22963;0;0
22966;0;0
22967;0;0
22968;0;0
22971;0;0
22972;16;66,86704
22974;0;0
22979;0;0
22994;0;0
22999;0;0
23007;0;0
23013;0;0
23016;3;210
23017;0;0
23030;0;0
23032;0;0
23058;0;0
23059;0;0
23064;0;0
23065;0;0
23066;0;0
23076;0;0
23083;0;0
23084;0;0
23096;0;0
23097;0;0
23098;0;0
23099;0;0
23103;0;0
23142;0;0
23145;0;0
23153;0;0
23161;0;0
23166;0;0
23170;0;0
23171;0;0
23181;0;0
23182;0;0
23185;0;0
23186;0;0
23187;0;0
23188;0;0
23209;0;0
23217;0;0
23220;0;0
23222;0;0
23228;0;0
23229;0;0
23233;0;0
23235;0;0
23238;0;0
23239;0;0
23241;0;0
23243;0;0
23247;0;0
23253;0;0
23254;0;0
23255;0;0
23290;0;0
23293;0;0
23294;0;0
23296;0;0
23309;0;0
23312;0;0
23313;0;0
23316;0;0
23317;0;0
23320;0;0
23324;0;0
23326;0;0
23327;35;8,54009211
23328;7;3,3386325
23333;0;0
23336;0;0
23338;0;0
23339;0;0
23340;0;0
23343;0;0
23344;0;0
23368;0;0
23378;0;0
23385;0;0
23391;0;0
23393;0;0
23395;0;0
23397;0;0
23404;0;0
23405;0;0
23406;0;0
23407;0;0
23408;0;0
23427;0;0
23430;0;0
23431;0;0
23445;0;0
23447;0;0
23452;2;317,24
23453;0;0
23455;0;0
23458;0;0
23460;0;0
23461;0;0
23462;0;0
23464;0;0
23465;0;0
23466;0;0
23468;0;0
23470;0;0
23472;0;0
23474;0;0
23478;1;60
23484;0;0
23489;0;0
23495;0;0
23513;7;310,1022785
23519;0;0
23527;0;0
23528;0;0
23529;0;0
23530;0;0
23533;0;0
23543;0;0
23545;0;0
23546;0;0
23552;0;0
23556;0;0
23557;0;0
23562;0;0
23565;0;0
23584;0;0
23600;0;0
23602;0;0
23603;0;0
23618;0;0
23619;0;0
23621;0;0
23622;0;0
23623;0;0
23624;0;0
23631;0;0
23658;0;0
23662;0;0
23675;0;0
23678;0;0
23690;0;0
23691;0;0
23697;0;0
23704;0;0
23711;0;0
23715;0;0
23718;0;0
23719;0;0
23721;0;0
23731;0;0
23735;0;0
23738;0;0
23742;0;0
23746;0;0
23749;0;0
23755;17;605,914
23756;0;0
23773;0;0
23774;0;0
23780;0;0
23781;0;0
23786;0;0
23788;0;0
23789;0;0
23796;0;0
23818;0;0
23819;0;0
23836;0;0
23845;0;0
23847;0;0
23851;0;0
23853;0;0
23870;0;0
23875;0;0
23877;0;0
23881;0;0
23887;0;0
23888;0;0
23891;5;160
23895;0;0
23896;0;0
23904;0;0
23908;0;0
23912;0;0
23913;0;0
23918;0;0
23920;0;0
23921;0;0
23923;0;0
23924;0;0
23929;0;0
23935;0;0
24187;0;0
24193;0;0
24195;0;0
24206;0;0
24207;0;0
24208;0;0
24212;0;0
24213;0;0
24215;0;0
24217;0;0
24218;6;294,40944
24224;0;0
24227;0;0
24229;0;0
24230;0;0
24232;0;0
24233;0;0
24234;0;0
24238;0;0
24243;0;0
24246;0;0
24253;0;0
24256;0;0
24264;0;0
24268;0;0
24272;0;0
24273;0;0
24274;0;0
24291;0;0
24296;0;0
24297;0;0
24308;0;0
24310;0;0
24311;0;0
24312;0;0
24314;0;0
24340;0;0
24342;0;0
24347;0;0
24355;0;0
24357;0;0
24360;0;0
24361;0;0
24366;0;0
24373;0;0
24375;0;0
24380;0;0
24386;0;0
24388;0;0
24391;0;0
24395;0;0
24401;0;0
24419;0;0
24425;0;0
24442;0;0
24447;0;0
24450;0;0
24469;0;0
24470;20;243,5846154
24474;0;0
24475;0;0
24476;0;0
24479;0;0
24482;0;0
24484;0;0
24488;0;0
24489;0;0
24491;0;0
24492;0;0
24494;0;0
24495;0;0
24499;0;0
24515;0;0
24516;0;0
24522;0;0
24523;0;0
24526;0;0
24527;0;0
24528;0;0
24529;0;0
24571;0;0
24596;0;0
24601;0;0
24606;0;0
24609;0;0
24610;0;0
24762;0;0
24782;0;0
24785;12;1411,249724
24787;0;0
24788;0;0
24790;0;0
24793;0;0
24794;0;0
24795;0;0
24807;0;0
24808;0;0
24810;0;0
24815;0;0
24833;0;0
24834;0;0
24835;0;0
24836;0;0
24837;0;0
24838;0;0
24839;0;0
24843;0;0
24845;26;127,499963
25133;0;0
25252;2;410,33625
26565;0;0
27588;0;0
34940;200;54
35319;0;0
52415;4;461,7455
52481;0;0
54045;0;0
55784;39;602,3609527
57450;0;0
57610;0;0
59226;0;0
59300;0;0
59404;0;0
59788;0;0
60032;0;0
60333;0;0
60386;0;0
61793;0;0
61995;0;0
62059;0;0
62578;0;0
62580;0;0
78558;0;0
83245;1;3458,3
84398;12;637,254
86205;5;457,775
87850;11;459,954
88117;2;899,09
92796;0;0
96208;2;2177,066
98194;0;0
100276;0;0
100278;0;0
100300;0;0
100341;0;0
100375;0;0
100932;0;0
100933;2;43,33333334
100969;0;0
101488;512;1662,31519
101552;0;0
101603;0;0
101676;0;0
101793;0;0
101821;0;0
101980;0;0
102607;0;0
102648;0;0
102657;0;0
102659;0;0
102665;19;29,86876
102817;0;0
102864;27;69,48783869
102868;0;0
102879;0;0
102895;0;0
102931;0;0
103033;0;0
103037;0;0
103048;0;0
103052;4;40,57954607
103053;0;0
103148;0;0
103151;0;0
103399;0;0
103410;0;0
103434;10;140,05
103442;0;0
103449;0;0
103482;0;0
103554;0;0
103639;24;382,520595
103641;0;0
103651;0;0
103654;18;295,218
103665;0;0
103681;0;0
103710;70;3346,518
103753;0;0
103784;0;0
104036;0;0
104097;0;0
104325;0;0
104391;0;0
105301;0;0
105408;0;0
105409;0;0
105411;0;0
105930;0;0
106045;16;50,3272727
106310;0;0
106326;0;0
106328;3;172,94
106537;0;0
106566;0;0
106567;11;434,8666667
106643;0;0
107199;0;0
107208;0;0
107251;0;0
107281;6;452,0279358
107282;7;413
107521;0;0
107523;0;0
107524;0;0
107525;0;0
107526;0;0
107547;0;0
107575;0;0
107989;0;0
108055;0;0
108917;10;40,8
108924;980;832,6484296
108925;363;562,65
109076;0;0
109555;0;0
109598;0;0
109617;0;0
109623;446;554,2641823
109779;0;0
109997;0;0
110301;0;0
110453;0;0
110626;0;0
110662;0;0
110763;0;0
110925;0;0
111684;25;42,85714287
111754;0;0
111791;0;0
115245;0;0
115266;0;0
115444;0;0
116510;12;372,3942857
117463;0;0
117617;0;0
121186;0;0
121781;0;0
126314;0;0
128083;20;595,28
128767;11;145,6294074
130303;0;0
132381;0;0
132390;0;0
133703;0;0
135232;9;4046,855174
135852;3;188,77875
135887;11;4819,318114
139169;0;0
140832;8;1654,9075
141560;1;57,77
142433;0;0
142489;0;0
143235;0;0
147281;0;0
148978;0;0
149845;0;0
151016;0;0
151904;0;0
152374;0;0
153141;2;115,2416666
153800;0;0
154046;0;0
154288;0;0
154300;0;0
154318;10;3,25
154709;0;0
154717;0;0
154725;0;0
154871;0;0
155939;1;757,37
157287;0;0
158577;0;0
158649;4;95,37333334
160735;0;0
