Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
julho;704;ROLANDIA - AB. AVES;374260;FARINHA TRIGO KIBE EMBALAGEM;17;REFEITORIO;-29;-87;-29
julho;704;ROLANDIA - AB. AVES;374260;FARINHA TRIGO KIBE EMBALAGEM;625;REFEITORIO;-59;-177;-59
julho;704;ROLANDIA - AB. AVES;374268;PO SOBREMESA PUDIM DISOLVIDO;17;REFEITORIO;-290;-2145,963541;-290
julho;704;ROLANDIA - AB. AVES;374268;PO SOBREMESA PUDIM DISOLVIDO;625;REFEITORIO;40;298,6658784;40
julho;704;ROLANDIA - AB. AVES;374269;PO SOBREMESA PUDIM DISOLVIDO;17;REFEITORIO;-312;-2309,577506;-312
julho;704;ROLANDIA - AB. AVES;374269;PO SOBREMESA PUDIM DISOLVIDO;625;REFEITORIO;7;52,26760252;7
julho;704;ROLANDIA - AB. AVES;374271;PO SOBREMESA PUDIM DISOLVIDO;17;REFEITORIO;-426;-3154,337031;-426
julho;704;ROLANDIA - AB. AVES;374271;PO SOBREMESA PUDIM DISOLVIDO;625;REFEITORIO;-20;-149,3411465;-20
julho;704;ROLANDIA - AB. AVES;374272;PREPARADO P/SUCO PO ARTIFICI;17;REFEITORIO;-52;-494,5015832;-52
julho;704;ROLANDIA - AB. AVES;374272;PREPARADO P/SUCO PO ARTIFICI;625;REFEITORIO;-10;-101,37;-10
julho;704;ROLANDIA - AB. AVES;374273;PREPARADO P/SUCO PO ARTIFICI;17;REFEITORIO;-50;-475,9360255;-50
julho;704;ROLANDIA - AB. AVES;374274;PREPARADO P/SUCO PO ARTIFICI;17;REFEITORIO;-21;-199,8396792;-21
julho;704;ROLANDIA - AB. AVES;374274;PREPARADO P/SUCO PO ARTIFICI;625;REFEITORIO;-50;-478,160713;-50
julho;704;ROLANDIA - AB. AVES;374281;"MILHO;CANJICA AMARELA;PACOTE";17;REFEITORIO;-183;-276,33;-183
